"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   , "Norm2(dU[Rho])" , "Norm2(dU[RhoU])", "Norm2(dU[RhoV])", "Norm2(dU[RhoE])"
          0,           0,          55,     -0.7972826113,       2.007914948,       1.822198019,       4.949551212,                 0,                 0,                 0,                 0
          0,           0,          56,     -0.8033398487,       2.001496534,       1.815163099,       4.942864434,                 0,                 0,                 0,                 0
          0,           0,          57,     -0.8096746181,       1.995263012,       1.807934972,       4.936302236,                 0,                 0,                 0,                 0
          0,           0,          58,     -0.8166428504,       1.988419933,       1.800392188,       4.929179159,                 0,                 0,                 0,                 0
          0,           0,          59,     -0.8240769428,       1.981306248,       1.792801076,       4.921752315,                 0,                 0,                 0,                 0
          0,           0,          60,     -0.8316743991,       1.974090124,       1.784738417,       4.914232497,                 0,                 0,                 0,                 0
          0,           0,          61,     -0.8395300688,       1.966352399,       1.776297451,       4.906289888,                 0,                 0,                 0,                 0
          0,           0,          62,     -0.8477639448,       1.958243589,       1.767555544,       4.898003545,                 0,                 0,                 0,                 0
          0,           0,          63,     -0.8560751826,       1.949297394,       1.758445786,       4.888990876,                 0,                 0,                 0,                 0
          0,           0,          64,     -0.8648768638,       1.939854441,       1.748767979,       4.879499339,                 0,                 0,                 0,                 0
          0,           0,          65,     -0.8741392652,       1.929333773,       1.738592141,       4.868944527,                 0,                 0,                 0,                 0
          0,           0,          66,     -0.8839705158,        1.91810748,       1.728046635,       4.857817495,                 0,                 0,                 0,                 0
          0,           0,          67,     -0.8943447245,       1.906936417,       1.717132951,       4.846664485,                 0,                 0,                 0,                 0
          0,           0,          68,     -0.9052318538,       1.895440335,       1.705603678,       4.835105944,                 0,                 0,                 0,                 0
          0,           0,          69,     -0.9165012461,          1.883157,       1.693636056,       4.822735571,                 0,                 0,                 0,                 0
          0,           0,          70,     -0.9278675474,       1.870629798,       1.681164405,       4.810084703,                 0,                 0,                 0,                 0
          0,           0,          71,     -0.9393755039,       1.857886308,       1.667921536,       4.797127921,                 0,                 0,                 0,                 0
          0,           0,          72,     -0.9509178021,       1.844948712,       1.654012075,       4.783899819,                 0,                 0,                 0,                 0
          0,           0,          73,     -0.9626476139,       1.831938128,       1.639895852,        4.77056189,                 0,                 0,                 0,                 0
          0,           0,          74,     -0.9747981092,       1.818315167,       1.625257861,       4.756600143,                 0,                 0,                 0,                 0
          0,           0,          75,     -0.9871298849,       1.805354468,       1.610717693,       4.743218611,                 0,                 0,                 0,                 0
          0,           0,          76,     -0.9998198337,       1.791658608,       1.595297411,       4.729060706,                 0,                 0,                 0,                 0
          0,           0,          77,      -1.013078367,       1.777936919,       1.579667114,       4.714872193,                 0,                 0,                 0,                 0
          0,           0,          78,      -1.026841577,       1.762875682,       1.564244806,       4.699464734,                 0,                 0,                 0,                 0
          0,           0,          79,      -1.041228661,       1.746729437,        1.54837378,       4.683069482,                 0,                 0,                 0,                 0
          0,           0,          80,      -1.055860092,       1.730008932,       1.532020241,       4.666025245,                 0,                 0,                 0,                 0
          0,           0,          81,      -1.070253341,       1.713273144,       1.515367845,       4.648963373,                 0,                 0,                 0,                 0
          0,           0,          82,      -1.084157089,        1.69760816,       1.498876569,       4.632977699,                 0,                 0,                 0,                 0
          0,           0,          83,      -1.097694216,       1.681734641,       1.482597461,       4.616915982,                 0,                 0,                 0,                 0
          0,           0,          84,      -1.110704676,       1.666021646,       1.466668426,       4.601121509,                 0,                 0,                 0,                 0
          0,           0,          85,      -1.123187958,       1.651294194,        1.45145626,       4.586295461,                 0,                 0,                 0,                 0
